"dealNo","oppName","oppValue","oppClosedate","custName","custAdd","custState","custCountry","custEmployee","custVM","custApps","custBudget","closeDate","submitterReseller","submitterName","submitterDesignation","submitterPhone","submitterEmail","submitterActivity","dealRegStatus","dealRegExpiredate","dealRegSubmitDate","dealRegARdate","dealRegARby","dealRegARreason"
19,"Bug Bunny e-commerce",15000,"2021-03-26T16:00:00.000Z","Warner Brother","hollywoood","California","USA","250",100,"node container",20000,"2021-05-28T16:00:00.000Z","Road Runner","beep beep","manager","123-1234-1234","road@runner.com","lay bombs","reject",,"2021-02-01T07:22:33.000Z","2021-02-01T09:28:07.000Z","sckhoo@gmail.com","pour some sugar on me"
20,"Mordor cloud project",1000000,"2021-08-30T16:00:00.000Z","Mordor","","","","",0,"",1000000,"2021-08-30T16:00:00.000Z","hobbit sdn bhd","Frodo","chief hobbit","","frodo@baggins.com","","closed",,"2021-02-01T09:49:15.000Z","2021-03-03T03:44:11.000Z","sckhoo@gmail.com",
21,"mordor ERP",200000,"2021-03-22T16:00:00.000Z","middle earth","","","","",0,"",200000,"2021-03-22T16:00:00.000Z","hobbit sdn bhd","frodo","","","frodo@baggins.com","","reject",,"2021-02-01T09:55:33.000Z","2021-02-02T01:40:07.000Z","sckhoo@gmail.com","i don't like him"
22,"whatever",10,"2021-03-24T16:00:00.000Z","wherever","","","","",0,"",10,"2021-03-24T16:00:00.000Z","hobbit sb","frodo","","","frodo@baggins.com","","reject",,"2021-02-01T09:57:27.000Z","2021-02-02T03:18:54.000Z","gandalf@thegrey.com","whatever"
46,"ABC hybrid cloud",10000,"2021-03-25T16:00:00.000Z","ABC","ABC","ABC","ABC","22",22,"abc abc abc",20000,"2021-03-29T16:00:00.000Z","XYZ","XYZ","XYZ","1111","dss@xyz.com","asada","accept",,"2021-02-02T01:38:02.000Z","2021-02-25T06:28:03.000Z","sckhoo@gmail.com",
64,"MBSJ cloud migration",150000,"2021-06-29T16:00:00.000Z","MBSP","Subang Jaya","Selangor","Malaysia","500",75,"web, apps, db",100000,"2021-03-25T16:00:00.000Z","IGS","sckhoo","pion","011-222-3333","khoosc@avmcloud.net","initial discussion","reject",,"2021-02-02T03:13:56.000Z","2021-02-02T04:23:36.000Z","gandalf@thegrey.com","not real opportunity"
66,"Mampu cloud project",10000000,"2021-06-29T16:00:00.000Z","Mampu","mampu HQ","Cyberjaya","Malaysia","5000",200,"one two three four",8000000,"2021-09-29T16:00:00.000Z","IE","yasin","account manage","011-123-4567","yasin@ie.com","initial meeting, wine and dine","reject",,"2021-02-02T04:13:36.000Z","2021-03-03T04:31:11.000Z","sckhoo@gmail.com","no no no"
67,"one",11,"2021-02-05T16:00:00.000Z","22","","","","",0,"",11,"2021-02-26T16:00:00.000Z","33","33","","","33@a.com","","pending",,"2021-02-03T01:30:05.000Z",,,
68,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:09:52.000Z",,,
69,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:12:02.000Z",,,
70,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","accept",,"2021-02-03T06:13:08.000Z","2021-03-03T04:28:40.000Z","sckhoo@gmail.com",
71,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","accept",,"2021-02-03T06:13:33.000Z","2021-03-03T04:28:47.000Z","sckhoo@gmail.com",
72,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","closed",,"2021-02-03T06:14:44.000Z","2021-03-05T01:54:35.000Z","sckhoo@gmail.com","no no"
73,"321",321,"2021-02-24T16:00:00.000Z","321","321","321","321","321",321,"321",321,"2021-02-26T16:00:00.000Z","321","321","321","321","321@c.com","321","pending",,"2021-02-03T06:15:29.000Z",,,
